uuid,name,dob,sex,mailing_address,email,job_id,num_course_taken,career_path_id,time_spent_hrs,career_path_name,hours_to_complete,job_category,avg_salary,_completed_path
1,Annabelle Avery,1943-07-03,F,"303 N Timber Key, Irondale, Wisconsin, 84736",annabelle_avery9376@woohoo.com,7,6,1,4.99,data scientist,20.0,HR,80000,False
2,Micah Rubio,1991-02-07,M,"767 Crescent Fair, Shoals, Indiana, 37439",rubio6772@hmail.com,7,5,8,4.4,android developer,27.0,HR,80000,False
3,Hosea Dale,1989-12-07,M,"P.O. Box 41269, St. Bonaventure, Virginia, 83637",hosea_dale8084@coldmail.com,7,8,8,6.74,android developer,27.0,HR,80000,False
4,Mariann Kirk,1988-07-31,F,"517 SE Wintergreen Isle, Lane, Arkansas, 82242",kirk4005@hmail.com,6,7,9,12.31,machine learning engineer,35.0,education,61000,False
5,Lucio Alexander,1963-08-31,M,"18 Cinder Cliff, Doyles borough, Rhode Island, 73737",alexander9810@hmail.com,7,14,3,5.64,data analyst,12.0,HR,80000,False
6,Shavonda Mcmahon,1989-10-15,F,"P.O. Box 81591, Tarpon Springs, Montana, 37057",shavonda5863@coldmail.com,6,10,3,10.12,data analyst,12.0,education,61000,False
7,Terrell Bleijenberg,1959-05-05,M,"P.O. Box 53471, Oskaloosa, Virginia, 85274",bleijenberg188@hmail.com,2,9,8,24.17,android developer,27.0,engineer,101000,False
8,Stanford Allan,1997-11-22,M,"255 Spring Avenue, Point Baker, Texas, 15796",stanford_allan8055@coldmail.com,3,3,1,19.54,data scientist,20.0,software developer,110000,False
9,Tricia Delacruz,1961-10-20,F,"997 Dewy Apple, Lake Lindsey, Washington, 78266",tricia_delacruz6622@woohoo.com,1,6,9,1.75,machine learning engineer,35.0,analytics,86000,False
10,Regenia van der Helm,1999-02-23,N,"220 Middle Ridge, Falcon Heights, New Mexico, 46971",regenia6908@inlook.com,5,7,6,13.55,frontend engineer,20.0,financial services,135000,False
11,Shonda Stephanin,1998-10-24,F,"818 Clear Street, Rockwood, Maine, 14372",shonda_stephanin4439@coldmail.com,7,5,10,12.61,ux/ui designer,15.0,HR,80000,False
12,Marcus Mcfarland,1977-05-29,M,"718 Embers Lane, Dale, South Carolina, 19186",mcfarland1396@woohoo.com,7,3,6,9.12,frontend engineer,20.0,HR,80000,False
13,Edwardo Boonzayer,1975-05-23,N,"147 SW Plain, Solana Beach, Kansas, 01794",edwardo8281@inlook.com,2,15,5,6.09,backend engineer,18.0,engineer,101000,False
14,Robena Padilla,1969-01-15,F,"P.O. Box 73926, McLemoresville, Maryland, 57372",robena_padilla1477@hmail.com,3,5,9,15.92,machine learning engineer,35.0,software developer,110000,False
15,Tamala Sears,1942-06-01,F,"868 Hazy Crossing, Bethania, Washington, 08205",tamala4408@woohoo.com,7,13,1,4.64,data scientist,20.0,HR,80000,False
16,Norene Dalton,1976-04-30,F,"130 Wishing Essex, Branch, Ohio, 13616",norene_dalton9509@hmail.com,6,0,0,0.0,Unknown,0.0,education,61000,False
17,Maris Benskoop,1965-08-10,F,"P.O. Box 93831, South Mountain, Washington, 02481",maris5817@hmail.com,5,5,4,12.08,software engineering,25.0,financial services,135000,False
18,Yolande van Hees,1978-12-09,F,"460 Dusty Kennedy Cove, McBaine, New Jersey, 41490",vanhees6330@woohoo.com,7,13,9,34.44,machine learning engineer,35.0,HR,80000,False
19,Dominic Werner,1973-09-29,M,"P.O. Box 70430, Laramie, Nevada, 56963",werner3867@coldmail.com,5,14,8,22.84,android developer,27.0,financial services,135000,False
20,Sofia van Steenbergen,1990-02-21,N,"634 Clear Barn Dell, Beaman, Georgia, 33288",vansteenbergen8482@inlook.com,7,13,0,0.0,Unknown,0.0,HR,80000,False
21,Toney Villarreal,1993-06-04,M,"P.O. Box 22286, Leisure Village, South Carolina, 22326",villarreal2146@woohoo.com,4,4,3,4.3,data analyst,12.0,creative,66000,False
